iter	Passed	Remaining
400	30854	7617
401	30895	7531
402	30946	7448
403	31027	7372
404	31081	7290
405	31179	7218
406	31272	7145
407	31351	7069
408	31409	6988
409	31478	6909
410	31573	6837
411	31656	6761
412	31735	6685
413	31815	6608
414	31901	6533
415	31974	6456
416	32057	6380
417	32137	6304
418	32207	6226
419	32284	6149
420	32363	6073
421	32445	5997
422	32512	5918
423	32595	5842
424	32652	5762
425	32730	5685
426	32788	5605
427	32852	5526
428	32901	5445
429	32976	5368
430	33030	5287
431	33111	5211
432	33198	5136
433	33272	5059
434	33340	4981
435	33427	4906
436	33498	4829
437	33569	4751
438	33652	4676
439	33722	4598
440	33779	4519
441	33842	4440
442	33902	4362
443	33945	4281
444	33988	4200
445	34028	4120
446	34067	4039
447	34120	3960
448	34171	3881
449	34209	3801
450	34248	3721
451	34289	3641
452	34328	3561
453	34396	3485
454	34451	3407
455	34493	3328
456	34532	3249
457	34597	3172
458	34651	3095
459	34695	3016
460	34738	2938
461	34777	2860
462	34818	2782
463	34877	2706
464	34917	2628
465	34978	2552
466	35039	2475
467	35078	2398
468	35123	2321
469	35164	2244
470	35227	2169
471	35291	2093
472	35355	2018
473	35423	1943
474	35492	1868
475	35554	1792
476	35621	1717
477	35687	1642
478	35789	1569
479	35868	1494
480	35953	1420
481	36033	1345
482	36127	1271
483	36200	1196
484	36276	1121
485	36337	1046
486	36393	971
487	36477	896
488	36557	822
489	36614	747
490	36674	672
491	36745	597
492	36803	522
493	36886	448
494	36970	373
495	37044	298
496	37108	223
497	37163	149
498	37203	74
499	37286	0
